WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
60.0,3.0,4.0,0.4,4.0,3.5,87.0,1030.4,12.5,18.5,2.1,,,
60.0,3.0,4.0,,,,,1030.4,12.5,18.5,1.8,,,
70.0,2.0,4.0,,,,,1030.4,12.7,18.5,2.4,,,
70.0,2.0,3.0,0.4,4.0,3.5,87.0,1030.3,12.7,18.5,2.4,,,
70.0,3.0,4.0,0.4,,3.6,81.0,1030.2,12.8,18.5,2.4,,-2.1,
50.0,3.0,4.0,,,,,1030.1,12.9,18.5,2.8,,,
50.0,3.0,4.0,0.4,4.0,3.6,81.0,1030.1,13.1,18.5,2.3,,,
70.0,3.0,4.0,,,,,1030.0,13.1,18.5,2.6,,,
60.0,3.0,5.0,,,,,1029.9,13.3,18.5,2.6,,,
70.0,4.0,5.0,0.4,4.0,3.6,93.0,1029.9,13.4,18.5,2.7,,,
60.0,4.0,5.0,,,,,1029.9,13.5,18.5,3.2,,-1.3,
70.0,4.0,5.0,0.4,,3.6,97.0,1029.9,13.5,18.5,2.4,,,
80.0,4.0,5.0,0.4,4.0,3.6,97.0,1029.9,13.7,18.5,3.5,,,
80.0,4.0,6.0,,,,,1029.8,13.8,18.5,3.8,,,
80.0,4.0,6.0,,,,,1029.8,13.9,18.5,2.9,,,
80.0,5.0,6.0,0.4,4.0,3.7,,1029.8,14.1,18.5,3.2,,,
80.0,5.0,6.0,,,,,1029.9,14.2,18.5,3.3,,-0.4,
80.0,5.0,6.0,0.4,,3.5,92.0,1029.8,14.2,18.6,3.1,,,
80.0,4.0,6.0,,,,,1029.9,14.6,18.6,2.8,,,
60.0,3.0,5.0,0.4,4.0,3.6,92.0,1029.9,14.6,18.6,2.5,,,
70.0,4.0,6.0,,,,,1030.0,14.9,18.6,2.1,,-0.0,
50.0,5.0,6.0,0.4,,3.6,100.0,1029.9,15.0,18.6,2.0,,,
60.0,5.0,6.0,0.4,5.0,3.6,100.0,1030.0,15.1,,2.2,,,
70.0,5.0,7.0,,,,,1029.9,15.2,18.6,2.2,,,
70.0,6.0,7.0,,,,,1030.0,15.1,18.6,2.1,,,
70.0,5.0,7.0,0.4,5.0,3.4,104.0,1030.0,15.0,18.6,2.2,,,
80.0,6.0,7.0,,,,,1030.0,15.0,18.6,2.3,,0.0,
70.0,5.0,7.0,0.4,,3.2,108.0,1030.1,14.9,18.6,2.3,,,
70.0,5.0,7.0,0.4,4.0,3.2,108.0,1030.1,14.9,18.6,2.7,,,
70.0,6.0,8.0,,,,,1030.0,14.9,18.6,2.3,,,
80.0,6.0,7.0,,,,,1030.0,14.9,18.6,3.2,,,
80.0,5.0,7.0,0.4,4.0,3.4,102.0,1030.1,14.9,18.6,3.1,,,
100.0,5.0,7.0,,,,,1029.9,14.9,18.6,3.4,,0.0,
90.0,6.0,7.0,0.4,,3.3,97.0,1030.0,14.9,18.6,2.9,,,
